"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2025","57.54","57.65","57.73","57.45","1.02M","0.23%"
"05/02/2025","57.41","57.36","57.63","57.22","3.37M","1.97%"
"05/01/2025","56.30","56.54","56.58","56.20","2.27M","0.09%"
"04/30/2025","56.25","55.93","56.42","55.61","1.46M","-0.46%"
"04/29/2025","56.51","56.33","56.59","56.29","1.59M","-0.32%"
"04/28/2025","56.69","56.52","56.69","56.31","1.04M","0.46%"
"04/25/2025","56.43","56.08","56.47","56.01","1.48M","0.66%"
"04/24/2025","56.06","55.58","56.08","55.40","1.48M","1.43%"
"04/23/2025","55.27","55.42","55.87","55.10","2.84M","1.26%"
"04/22/2025","54.58","54.08","54.71","53.98","4.20M","2.73%"
"04/21/2025","53.13","53.87","53.99","52.81","4.95M","-1.19%"
"04/17/2025","53.77","53.64","54.06","53.40","4.16M","0.88%"
"04/16/2025","53.30","53.49","53.92","53.10","1.54M","-0.30%"
"04/15/2025","53.46","53.47","53.77","53.34","1.43M","0.66%"
"04/14/2025","53.11","53.01","53.60","52.63","2.66M","0.68%"
"04/11/2025","52.75","51.75","52.95","51.59","5.16M","1.91%"
"04/10/2025","51.76","51.79","52.10","50.46","4.26M","-1.58%"
"04/09/2025","52.59","48.79","53.03","48.48","8.39M","9.06%"
"04/08/2025","48.22","50.21","50.27","47.63","6.84M","-1.37%"
"04/07/2025","48.89","48.55","51.28","48.09","7.84M","-2.75%"
"04/04/2025","50.27","51.70","51.83","50.25","6.68M","-6.18%"
"04/03/2025","53.58","54.32","54.46","53.47","5.40M","-2.42%"
"04/02/2025","54.91","54.33","55.02","54.28","1.27M","0.53%"
"04/01/2025","54.62","54.58","54.90","54.32","2.73M","0.39%"
"03/31/2025","54.41","54.10","54.50","53.84","3.07M","-1.09%"
"03/28/2025","55.01","55.02","55.23","54.82","1.38M","-0.49%"
"03/27/2025","55.28","55.14","55.52","55.00","3.25M","-0.07%"
"03/26/2025","55.32","55.80","56.04","55.09","2.12M","-1.93%"
"03/25/2025","56.41","56.47","56.54","56.18","1.20M","0.97%"
