"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2025","118.80","118.76","119.31","118.58","1.76M","-0.22%"
"05/02/2025","119.06","118.62","119.23","118.34","1.59M","1.74%"
"05/01/2025","117.02","117.67","117.96","116.87","1.49M","0.36%"
"04/30/2025","116.60","115.53","116.97","114.48","2.25M","-0.05%"
"04/29/2025","116.66","115.87","116.88","115.82","2.41M","0.46%"
"04/28/2025","116.13","116.00","116.35","115.06","5.36M","0.28%"
"04/25/2025","115.80","115.07","115.87","114.62","2.30M","0.48%"
"04/24/2025","115.25","113.26","115.34","113.26","3.14M","1.74%"
"04/23/2025","113.28","114.16","114.92","112.92","3.89M","1.28%"
"04/22/2025","111.85","110.57","112.39","110.54","1.87M","2.18%"
"04/21/2025","109.46","110.71","110.91","108.42","1.75M","-1.55%"
"04/17/2025","111.18","111.23","111.98","110.71","1.73M","0.52%"
"04/16/2025","110.60","111.43","112.12","109.71","2.76M","-1.49%"
"04/15/2025","112.27","112.51","113.15","112.09","1.90M","0.10%"
"04/14/2025","112.16","112.64","112.97","111.16","4.32M","0.95%"
"04/11/2025","111.11","109.02","111.32","108.39","3.19M","2.07%"
"04/10/2025","108.86","110.00","110.25","106.06","3.33M","-2.79%"
"04/09/2025","111.98","102.92","112.64","102.47","5.33M","8.55%"
"04/08/2025","103.16","108.04","108.30","101.82","4.18M","-1.22%"
"04/07/2025","104.43","102.09","108.35","100.89","5.70M","-1.20%"
"04/04/2025","105.70","109.01","109.31","105.59","6.54M","-5.96%"
"04/03/2025","112.40","113.87","114.29","112.29","4.74M","-3.95%"
"04/02/2025","117.02","115.27","117.37","115.24","1.24M","0.59%"
"04/01/2025","116.33","115.56","116.63","114.99","1.66M","0.33%"
"03/31/2025","115.95","114.50","116.23","113.83","3.54M","0.11%"
"03/28/2025","115.82","117.44","117.48","115.66","2.36M","-1.76%"
"03/27/2025","117.89","117.80","118.45","117.38","1.07M","-0.11%"
"03/26/2025","118.02","119.09","119.33","117.71","1.21M","-1.09%"
"03/25/2025","119.32","119.40","119.55","119.08","1.33M","0.19%"
"03/24/2025","119.09","118.27","119.20","118.27","1.43M","1.27%"
