Data	Valore Quota
29/06/2006	32,87
30/06/2006	32,942
03/07/2006	33,005
04/07/2006	33,054
05/07/2006	32,876
06/07/2006	32,932
07/07/2006	32,865
10/07/2006	32,91
11/07/2006	32,82
12/07/2006	32,745
13/07/2006	32,576
14/07/2006	32,478
17/07/2006	32,393
18/07/2006	32,312
19/07/2006	32,594
20/07/2006	32,582
21/07/2006	32,415
24/07/2006	32,629
25/07/2006	32,679
26/07/2006	32,708
27/07/2006	32,745
28/07/2006	32,877
31/07/2006	32,903
01/08/2006	32,798
02/08/2006	32,906
03/08/2006	32,829
04/08/2006	32,934
07/08/2006	32,776
08/08/2006	32,776
09/08/2006	32,787
10/08/2006	32,771
11/08/2006	32,7
14/08/2006	32,757
16/08/2006	33,084
17/08/2006	33,164
18/08/2006	33,209
21/08/2006	33,142
22/08/2006	33,269
23/08/2006	33,178
24/08/2006	33,273
25/08/2006	33,316
28/08/2006	33,323
29/08/2006	33,373
30/08/2006	33,427
31/08/2006	33,473
01/09/2006	33,569
04/09/2006	33,596
05/09/2006	33,594
06/09/2006	33,422
07/09/2006	33,372
08/09/2006	33,493
11/09/2006	33,405
12/09/2006	33,499
13/09/2006	33,576
14/09/2006	33,507
15/09/2006	33,58
18/09/2006	33,501
19/09/2006	33,45
20/09/2006	33,527
21/09/2006	33,6
22/09/2006	33,47
25/09/2006	33,513
26/09/2006	33,64
27/09/2006	33,728
28/09/2006	33,76
29/09/2006	33,765
02/10/2006	33,717
03/10/2006	33,638
04/10/2006	33,792
05/10/2006	33,908
06/10/2006	33,932
09/10/2006	33,973
10/10/2006	34,044
11/10/2006	34,076
12/10/2006	34,151
13/10/2006	34,202
16/10/2006	34,245
17/10/2006	34,131
18/10/2006	34,234
19/10/2006	34,161
20/10/2006	34,15
23/10/2006	34,217
24/10/2006	34,192
25/10/2006	34,21
26/10/2006	34,291
27/10/2006	34,246
30/10/2006	34,221
31/10/2006	34,303
02/11/2006	34,261
03/11/2006	34,311
06/11/2006	34,447
07/11/2006	34,512
08/11/2006	34,506
09/11/2006	34,443
10/11/2006	34,432
13/11/2006	34,44
14/11/2006	34,49
15/11/2006	34,55
16/11/2006	34,517
17/11/2006	34,472
20/11/2006	34,472
21/11/2006	34,482
22/11/2006	34,47
23/11/2006	34,447
24/11/2006	34,378
27/11/2006	34,16
28/11/2006	34,196
29/11/2006	34,375
30/11/2006	34,319
01/12/2006	34,238
04/12/2006	34,349
05/12/2006	34,419
06/12/2006	34,416
07/12/2006	34,435
11/12/2006	34,451
12/12/2006	34,461
13/12/2006	34,499
14/12/2006	34,552
15/12/2006	34,619
18/12/2006	34,548
19/12/2006	34,454
20/12/2006	34,469
21/12/2006	34,451
22/12/2006	34,353
27/12/2006	34,473
28/12/2006	34,455
29/12/2006	34,452
02/01/2007	34,58
03/01/2007	34,541
04/01/2007	34,56
05/01/2007	34,481
08/01/2007	34,468
09/01/2007	34,49
10/01/2007	34,43
11/01/2007	34,59
12/01/2007	34,653
15/01/2007	34,741
16/01/2007	34,701
17/01/2007	34,643
18/01/2007	34,594
19/01/2007	34,724
22/01/2007	34,706
23/01/2007	34,728
24/01/2007	34,857
25/01/2007	34,764
26/01/2007	34,693
29/01/2007	34,685
30/01/2007	34,726
31/01/2007	34,668
01/02/2007	34,727
02/02/2007	34,798
05/02/2007	34,866
06/02/2007	34,865
07/02/2007	34,907
08/02/2007	34,816
09/02/2007	34,823
12/02/2007	34,739
13/02/2007	34,783
14/02/2007	34,848
15/02/2007	34,883
16/02/2007	34,891
19/02/2007	34,904
20/02/2007	34,837
21/02/2007	34,788
22/02/2007	34,831
23/02/2007	34,853
26/02/2007	34,947
27/02/2007	34,509
28/02/2007	34,396
01/03/2007	34,255
02/03/2007	34,135
05/03/2007	33,996
06/03/2007	34,129
07/03/2007	34,149
08/03/2007	34,306
09/03/2007	34,317
12/03/2007	34,29
13/03/2007	34,135
14/03/2007	33,903
15/03/2007	34,041
16/03/2007	33,963
19/03/2007	34,085
20/03/2007	34,164
21/03/2007	34,258
22/03/2007	34,384
23/03/2007	34,422
26/03/2007	34,3
27/03/2007	34,263
28/03/2007	34,183
29/03/2007	34,269
30/03/2007	34,298
02/04/2007	34,307
03/04/2007	34,422
04/04/2007	34,497
05/04/2007	34,465
10/04/2007	34,548
11/04/2007	34,478
12/04/2007	34,438
13/04/2007	34,457
16/04/2007	34,626
17/04/2007	34,632
18/04/2007	34,644
19/04/2007	34,501
20/04/2007	34,635
23/04/2007	34,678
24/04/2007	34,591
26/04/2007	34,777
27/04/2007	34,713
30/04/2007	34,716
02/05/2007	34,779
03/05/2007	34,764
04/05/2007	34,845
07/05/2007	34,848
08/05/2007	34,832
09/05/2007	34,872
10/05/2007	34,741
11/05/2007	34,787
14/05/2007	34,749
15/05/2007	34,712
16/05/2007	34,716
17/05/2007	34,774
18/05/2007	34,813
21/05/2007	34,887
22/05/2007	34,863
23/05/2007	34,896
24/05/2007	34,778
25/05/2007	34,766
28/05/2007	34,789
29/05/2007	34,774
30/05/2007	34,831
31/05/2007	34,859
01/06/2007	34,904
04/06/2007	34,817
05/06/2007	34,755
06/06/2007	34,607
07/06/2007	34,372
08/06/2007	34,413
11/06/2007	34,476
12/06/2007	34,354
13/06/2007	34,435
14/06/2007	34,616
15/06/2007	34,727
18/06/2007	34,675
19/06/2007	34,732
20/06/2007	34,642
21/06/2007	34,59
22/06/2007	34,456
25/06/2007	34,413
26/06/2007	34,322
27/06/2007	34,369
28/06/2007	34,419
29/06/2007	34,444
02/07/2007	34,495
03/07/2007	34,558
04/07/2007	34,545
05/07/2007	34,458
06/07/2007	34,485
09/07/2007	34,56
10/07/2007	34,418
11/07/2007	34,354
12/07/2007	34,484
13/07/2007	34,557
16/07/2007	34,595
17/07/2007	34,527
18/07/2007	34,456
19/07/2007	34,561
20/07/2007	34,482
23/07/2007	34,526
24/07/2007	34,3
25/07/2007	34,28
26/07/2007	33,984
27/07/2007	33,888
30/07/2007	33,912
31/07/2007	34,001
01/08/2007	33,83
02/08/2007	33,912
03/08/2007	33,733
06/08/2007	33,727
07/08/2007	33,882
08/08/2007	34,049
09/08/2007	33,874
10/08/2007	33,604
13/08/2007	33,753
14/08/2007	33,628
16/08/2007	33,358
17/08/2007	33,494
20/08/2007	33,601
21/08/2007	33,661
22/08/2007	33,804
23/08/2007	33,855
24/08/2007	33,912
27/08/2007	33,892
28/08/2007	33,632
29/08/2007	33,756
30/08/2007	33,837
31/08/2007	34,01
03/09/2007	34,034
04/09/2007	34,103
05/09/2007	33,843
06/09/2007	33,878
07/09/2007	33,639
10/09/2007	33,588
11/09/2007	33,733
12/09/2007	33,733
13/09/2007	33,821
14/09/2007	33,768
17/09/2007	33,651
18/09/2007	33,844
19/09/2007	34,037
20/09/2007	33,855
21/09/2007	33,851
24/09/2007	33,839
25/09/2007	33,809
26/09/2007	33,864
27/09/2007	33,93
28/09/2007	33,905
01/10/2007	34,065
02/10/2007	34,132
03/10/2007	34,125
04/10/2007	34,194
05/10/2007	34,264
08/10/2007	34,251
09/10/2007	34,39
10/10/2007	34,291
11/10/2007	34,262
12/10/2007	34,299
15/10/2007	34,105
16/10/2007	34,031
17/10/2007	34,032
18/10/2007	34,017
19/10/2007	33,963
22/10/2007	33,909
23/10/2007	33,976
24/10/2007	33,943
25/10/2007	34,008
26/10/2007	34,118
29/10/2007	34,204
30/10/2007	34,139
31/10/2007	34,221
02/11/2007	33,924
05/11/2007	33,833
06/11/2007	33,837
07/11/2007	33,655
08/11/2007	33,47
09/11/2007	33,248
12/11/2007	33,28
13/11/2007	33,406
14/11/2007	33,407
15/11/2007	33,306
16/11/2007	33,302
19/11/2007	33,041
20/11/2007	33,087
21/11/2007	32,831
22/11/2007	32,85
23/11/2007	33,077
